year,population,region,deathCause,deaths
2012,1023317,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba nadciśnieniowa,108
2013,1021470,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba nadciśnieniowa,204
2014,1020307,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba nadciśnieniowa,10
2015,1018075,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba nadciśnieniowa,29
2016,1017376,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba nadciśnieniowa,96
2017,1016832,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba nadciśnieniowa,150
2018,1014548,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba nadciśnieniowa,174
2019,1011592,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba nadciśnieniowa,152
2020,1007145,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba nadciśnieniowa,158
1999,1007967,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,1301
2000,1008472,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,1068
2001,1008983,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,796
2002,1008196,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,813
2003,1008786,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,811
2004,1009168,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,781
2005,1009198,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,914
2006,1008520,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,1091
2007,1008481,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,1174
2008,1008962,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,1240
2009,1010047,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,1234
2010,1023215,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,968
2011,1023158,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,948
2012,1023317,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,894
2013,1021470,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,914
2014,1020307,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,657
2015,1018075,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,708
2016,1017376,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,826
2017,1016832,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,1196
2018,1014548,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,831
2019,1011592,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,1002
2020,1007145,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroba niedokrwienna serca,784
1999,1007967,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,1215
2000,1008472,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,1084
2001,1008983,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,1004
2002,1008196,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,1087
2003,1008786,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,1175
2004,1009168,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,1184
2005,1009198,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,1094
2006,1008520,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,818
2007,1008481,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,913
2008,1008962,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,1132
2009,1010047,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,876
2010,1023215,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,872
2011,1023158,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,928
2012,1023317,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,833
2013,1021470,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,908
2014,1020307,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,671
2015,1018075,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,705
2016,1017376,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,857
2017,1016832,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,860
2018,1014548,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,907
2019,1011592,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,880
2020,1007145,KUJAWSKO-POMORSKIE,choroby układu krążenia - choroby naczyń mózgowych,982
1999,1007967,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,273
2000,1008472,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,501
2001,1008983,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,591
2002,1008196,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,567
2003,1008786,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,570
2004,1009168,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,684
2005,1009198,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,746
2006,1008520,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,1023
2007,1008481,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,801
2008,1008962,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,307
2009,1010047,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,579
2010,1023215,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,834
2011,1023158,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,598
2012,1023317,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,742
2013,1021470,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,736
2014,1020307,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,800
2015,1018075,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,620
2016,1017376,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,485
2017,1016832,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,286
2018,1014548,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,294
2019,1011592,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,194
2020,1007145,KUJAWSKO-POMORSKIE,choroby układu krążenia - miażdżyca,296
1999,1007967,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,411
2000,1008472,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,553
2001,1008983,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,459
2002,1008196,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,392
2003,1008786,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,464
2004,1009168,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,413
2005,1009198,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,454
2006,1008520,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,380
2007,1008481,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,412
2008,1008962,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,379
2009,1010047,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,448
2010,1023215,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,413
2011,1023158,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,402
2012,1023317,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,360
2013,1021470,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,553
2014,1020307,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,317
2015,1018075,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,383
2016,1017376,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,484
2017,1016832,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,491
2018,1014548,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,629
2019,1011592,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,580
2020,1007145,KUJAWSKO-POMORSKIE,choroby układu oddechowego ogółem,602
1999,1007967,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,239
2000,1008472,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,243
2001,1008983,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,152
2002,1008196,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,154
2003,1008786,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,171
2004,1009168,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,139
2005,1009198,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,175
2006,1008520,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,148
2007,1008481,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,183
2008,1008962,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,213
2009,1010047,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,185
2010,1023215,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,199
2011,1023158,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,224
2012,1023317,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,172
2013,1021470,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,314
2014,1020307,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,161
2015,1018075,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,188
2016,1017376,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,274
2017,1016832,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,283
2018,1014548,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,393
2019,1011592,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,358
2020,1007145,KUJAWSKO-POMORSKIE,choroby układu oddechowego - zapalenia płuc, zapalenia oskrzeli, rozedma i astma,405
1999,1007967,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,364
2000,1008472,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,370
2001,1008983,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,366
2002,1008196,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,337
2003,1008786,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,416
2004,1009168,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,415
2005,1009198,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,450
2006,1008520,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,393
2007,1008481,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,391
2008,1008962,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,428
2009,1010047,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,457
2010,1023215,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,415
2011,1023158,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,446
2012,1023317,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,409
2013,1021470,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,426
2014,1020307,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,321
2015,1018075,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,272
2016,1017376,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,415
2017,1016832,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,406
2018,1014548,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,447
2019,1011592,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,508
2020,1007145,KUJAWSKO-POMORSKIE,choroby układu trawiennego ogółem,539
1999,1007967,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,175
2000,1008472,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,137
2001,1008983,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,107
2002,1008196,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,100
2003,1008786,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,136
2004,1009168,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,179
2005,1009198,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,175
2006,1008520,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,163
2007,1008481,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,172
2008,1008962,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,199
2009,1010047,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,214
2010,1023215,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,183
2011,1023158,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,228
2012,1023317,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,202
2013,1021470,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,205
2014,1020307,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,173
2015,1018075,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,161
2016,1017376,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,206
2017,1016832,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,213
2018,1014548,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,228
2019,1011592,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,273
2020,1007145,KUJAWSKO-POMORSKIE,choroby układu trawiennego - choroba przewlekła wątroby i marskość wątroby,282
1999,1007967,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,1
2000,1008472,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,1
2001,1008983,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,3
2002,1008196,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,0
2003,1008786,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,2
2004,1009168,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,4
2005,1009198,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,0
2006,1008520,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,1
2007,1008481,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,1
2008,1008962,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,1
2009,1010047,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,0
2010,1023215,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,2
2011,1023158,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,0
2012,1023317,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,0
2013,1021470,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,2
2014,1020307,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,0
2015,1018075,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,2
2016,1017376,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,7
2017,1016832,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,13
2018,1014548,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,20
2019,1011592,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,26
2020,1007145,KUJAWSKO-POMORSKIE,choroby skóry i tkanki podskórnej,15
1999,1007967,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,7
2000,1008472,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,20
2001,1008983,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,24
2002,1008196,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,13
2003,1008786,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,23
2004,1009168,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,23
2005,1009198,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,21
2006,1008520,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,12
2007,1008481,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,19
2008,1008962,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,15
2009,1010047,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,13
2010,1023215,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,9
2011,1023158,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,15
2012,1023317,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,15
2013,1021470,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,20
2014,1020307,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,13
2015,1018075,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,18
2016,1017376,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,20
2017,1016832,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,22
2018,1014548,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,18
2019,1011592,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,16
2020,1007145,KUJAWSKO-POMORSKIE,choroby układu kostnostawowego, mięśniowego i tkanki łącznej,25
1999,1007967,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,139
2000,1008472,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,129
2001,1008983,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,116
2002,1008196,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,125
2003,1008786,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,128
2004,1009168,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,144
2005,1009198,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,130
2006,1008520,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,95
2007,1008481,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,96
2008,1008962,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,103
2009,1010047,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,126
2010,1023215,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,117
2011,1023158,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,128
2012,1023317,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,78
2013,1021470,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,139
2014,1020307,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,9
2015,1018075,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,47
2016,1017376,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,148
2017,1016832,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,113
2018,1014548,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,132
2019,1011592,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,140
2020,1007145,KUJAWSKO-POMORSKIE,choroby układu moczowo-płciowego,123
1999,1007967,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,0
2000,1008472,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,4
2001,1008983,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,0
2002,1008196,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,1
2003,1008786,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,1
2004,1009168,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,0
2005,1009198,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,0
2006,1008520,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,1
2007,1008481,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,1
2008,1008962,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,0
2009,1010047,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,0
2010,1023215,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,1
2011,1023158,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,0
2012,1023317,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,0
2013,1021470,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,1
2014,1020307,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,2
2015,1018075,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,0
2016,1017376,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,1
2017,1016832,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,0
2018,1014548,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,0
2019,1011592,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,1
2020,1007145,KUJAWSKO-POMORSKIE,ciąża, poród i połóg,0
1999,1007967,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,41
2000,1008472,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,50
2001,1008983,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,34
2002,1008196,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,29
2003,1008786,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,36
2004,1009168,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,41
2005,1009198,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,30
2006,1008520,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,45
2007,1008481,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,35
2008,1008962,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,27
2009,1010047,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,36
2010,1023215,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,27
2011,1023158,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,31
2012,1023317,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,35
2013,1021470,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,30
2014,1020307,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,18
2015,1018075,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,28
2016,1017376,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,33
2017,1016832,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,25
2018,1014548,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,15
2019,1011592,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,16
2020,1007145,KUJAWSKO-POMORSKIE,niektóre stany rozpoczynające się w okresie okołoporodowym,14
1999,1007967,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,49
2000,1008472,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,35
2001,1008983,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,39
2002,1008196,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,39
2003,1008786,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,40
2004,1009168,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,38
2005,1009198,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,29
2006,1008520,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,24
2007,1008481,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,27
2008,1008962,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,24
2009,1010047,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,30
2010,1023215,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,27
2011,1023158,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,29
2012,1023317,KUJAWSKO-POMORSKIE,wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe,34
